,Opp,n_stats,perc,statistic,mean,std,max,min,median,n_games,mean_all,std_all,max_all,min_all,median_all,n_games_all,dif
0,ATL,12,0.6666666666666666,3P,3.4,2.3190036174568114,6.0,0.0,4.0,10,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,0.24070351758793995
1,ATL,12,0.6666666666666666,3P%,0.3683333333333334,0.19505960627459493,0.6,0.0,0.444,9,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395,0.04665907172995776
2,ATL,12,0.6666666666666666,3PA,8.4,4.247875285886397,15.0,0.0,9.0,10,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398,0.2306532663316574
3,ATL,12,0.6666666666666666,DRB,3.8,2.6583202716502514,8.0,0.0,3.5,10,3.879396984924623,2.354165104283823,11.0,0.0,4.0,398,0.07939698492462322
4,ATL,12,0.6666666666666666,FG,7.6,3.8355066303046734,14.0,0.0,8.0,10,8.301507537688442,3.3994439816055255,20.0,0.0,8.0,398,0.7015075376884425
5,ATL,12,0.6666666666666666,FGA,16.0,6.271629240742259,22.0,0.0,18.0,10,17.839195979899497,5.355782332181428,35.0,0.0,18.0,398,1.8391959798994968
6,ATL,12,0.6666666666666666,FT,3.8,2.573367875415838,8.0,0.0,3.5,10,4.040201005025126,3.2329213278612334,16.0,0.0,4.0,398,0.24020100502512598
7,ATL,12,0.6666666666666666,FTA,4.1,2.766867462592951,8.0,0.0,3.5,10,4.477386934673367,3.460935824584786,16.0,0.0,4.0,398,0.3773869346733676
8,ATL,12,0.6666666666666666,ORB,0.4,0.5163977794943222,1.0,0.0,0.0,10,0.7989949748743719,0.9782516636096457,5.0,0.0,1.0,398,0.39899497487437185
9,ATL,12,0.6666666666666666,PTS,22.4,10.875047892614848,36.0,0.0,25.0,10,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,1.8839195979899515
10,ATL,12,0.6666666666666666,TOV,3.1,2.923088169119167,9.0,0.0,2.5,10,3.2336683417085426,1.9303155170901865,11.0,0.0,3.0,398,0.13366834170854247
11,ATL,12,0.6666666666666666,TRB,4.2,2.7406406388125952,8.0,0.0,4.5,10,4.678391959798995,2.585969784253816,13.0,0.0,5.0,398,0.4783919597989952
12,BOS,13,0.7222222222222222,3P,3.0,2.1213203435596424,6.0,1.0,2.0,9,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,0.6407035175879399
13,BOS,13,0.7222222222222222,3P%,0.33688888888888896,0.15163067338474465,0.625,0.2,0.25,9,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395,0.0781035161744022
14,BOS,13,0.7222222222222222,3PA,8.333333333333334,3.5707142142714248,13.0,4.0,9.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398,0.2973199329983238
15,BOS,13,0.7222222222222222,AST,5.666666666666667,1.7320508075688772,8.0,3.0,5.0,9,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398,0.5720268006700167
16,BOS,13,0.7222222222222222,BLK,0.1111111111111111,0.33333333333333337,1.0,0.0,0.0,9,0.228643216080402,0.5073601042723627,3.0,0.0,0.0,398,0.1175321049692909
17,BOS,13,0.7222222222222222,DRB,3.0,2.345207879911715,8.0,0.0,3.0,9,3.879396984924623,2.354165104283823,11.0,0.0,4.0,398,0.879396984924623
18,BOS,13,0.7222222222222222,FG,6.666666666666667,3.3166247903553994,14.0,3.0,6.0,9,8.301507537688442,3.3994439816055255,20.0,0.0,8.0,398,1.6348408710217752
19,BOS,13,0.7222222222222222,FG%,0.4041111111111111,0.1409977344183626,0.636,0.214,0.364,9,0.45951262626262623,0.1230366924469085,0.778,0.0,0.462,396,0.055401515151515146
20,BOS,13,0.7222222222222222,FGA,16.77777777777778,6.180165405913052,27.0,10.0,15.0,9,17.839195979899497,5.355782332181428,35.0,0.0,18.0,398,1.0614182021217182
21,BOS,13,0.7222222222222222,FTA,4.333333333333333,4.743416490252569,14.0,0.0,4.0,9,4.477386934673367,3.460935824584786,16.0,0.0,4.0,398,0.1440536013400342
22,BOS,13,0.7222222222222222,ORB,0.7777777777777778,1.2018504251546631,3.0,0.0,0.0,9,0.7989949748743719,0.9782516636096457,5.0,0.0,1.0,398,0.021217197096594087
23,BOS,13,0.7222222222222222,PTS,20.555555555555557,11.147994338793762,38.0,9.0,16.0,9,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,3.728364042434393
24,BOS,13,0.7222222222222222,TRB,3.7777777777777777,3.192874010111336,11.0,0.0,3.0,9,4.678391959798995,2.585969784253816,13.0,0.0,5.0,398,0.9006141820212177
25,CHI,13,0.7222222222222222,3P,2.2222222222222223,1.7159383568311668,6.0,0.0,2.0,9,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,1.4184812953657175
26,CHI,13,0.7222222222222222,3P%,0.3098888888888889,0.17705891988575756,0.545,0.0,0.33299999999999996,9,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395,0.10510351617440228
27,CHI,13,0.7222222222222222,3PA,6.666666666666667,3.0,11.0,3.0,5.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398,1.9639865996649908
28,CHI,13,0.7222222222222222,AST,5.0,3.0413812651491097,11.0,1.0,5.0,9,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398,1.2386934673366836
29,CHI,13,0.7222222222222222,BLK,0.1111111111111111,0.33333333333333337,1.0,0.0,0.0,9,0.228643216080402,0.5073601042723627,3.0,0.0,0.0,398,0.1175321049692909
30,CHI,13,0.7222222222222222,FG,6.555555555555555,2.788866755113585,10.0,2.0,7.0,9,8.301507537688442,3.3994439816055255,20.0,0.0,8.0,398,1.7459519821328868
31,CHI,13,0.7222222222222222,FG%,0.42400000000000004,0.16257767374396773,0.778,0.2,0.389,9,0.45951262626262623,0.1230366924469085,0.778,0.0,0.462,396,0.03551262626262619
32,CHI,13,0.7222222222222222,FGA,15.666666666666666,5.852349955359813,27.0,9.0,18.0,9,17.839195979899497,5.355782332181428,35.0,0.0,18.0,398,2.1725293132328307
33,CHI,13,0.7222222222222222,FT,3.4444444444444446,3.0867098629086893,8.0,0.0,4.0,9,4.040201005025126,3.2329213278612334,16.0,0.0,4.0,398,0.5957565605806812
34,CHI,13,0.7222222222222222,FTA,3.6666666666666665,3.2015621187164243,9.0,0.0,4.0,9,4.477386934673367,3.460935824584786,16.0,0.0,4.0,398,0.8107202680067007
35,CHI,13,0.7222222222222222,ORB,0.3333333333333333,0.5,1.0,0.0,0.0,9,0.7989949748743719,0.9782516636096457,5.0,0.0,1.0,398,0.46566164154103856
36,CHI,13,0.7222222222222222,PTS,18.77777777777778,8.37821248503787,30.0,5.0,21.0,9,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,5.5061418202121715
37,CHI,13,0.7222222222222222,TOV,3.111111111111111,2.0275875100994063,6.0,0.0,3.0,9,3.2336683417085426,1.9303155170901865,11.0,0.0,3.0,398,0.1225572305974314
38,DAL,14,0.7777777777777778,3P,3.4,2.8233718443429607,11.0,0.0,3.0,15,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,0.24070351758793995
39,DAL,14,0.7777777777777778,3P%,0.3844666666666667,0.16600940879818774,0.6,0.0,0.375,15,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395,0.03052573839662448
40,DAL,14,0.7777777777777778,3PA,8.0,4.690415759823429,19.0,2.0,8.0,15,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398,0.6306532663316577
41,DAL,14,0.7777777777777778,BLK,0.13333333333333333,0.5163977794943222,2.0,0.0,0.0,15,0.228643216080402,0.5073601042723627,3.0,0.0,0.0,398,0.09530988274706867
42,DAL,14,0.7777777777777778,DRB,3.6,2.1313979316066587,8.0,0.0,4.0,15,3.879396984924623,2.354165104283823,11.0,0.0,4.0,398,0.27939698492462295
43,DAL,14,0.7777777777777778,FG,8.133333333333333,3.777124126457412,17.0,1.0,8.0,15,8.301507537688442,3.3994439816055255,20.0,0.0,8.0,398,0.16817420435510932
44,DAL,14,0.7777777777777778,FG%,0.4413333333333333,0.11007183801413298,0.588,0.16699999999999998,0.467,15,0.45951262626262623,0.1230366924469085,0.778,0.0,0.462,396,0.018179292929292934
45,DAL,14,0.7777777777777778,FGA,17.733333333333334,6.507870692659846,32.0,6.0,17.0,15,17.839195979899497,5.355782332181428,35.0,0.0,18.0,398,0.10586264656616251
46,DAL,14,0.7777777777777778,FT,3.933333333333333,3.750555514409388,13.0,0.0,3.0,15,4.040201005025126,3.2329213278612334,16.0,0.0,4.0,398,0.10686767169179268
47,DAL,14,0.7777777777777778,FTA,4.2,3.783422486887463,13.0,0.0,3.0,15,4.477386934673367,3.460935824584786,16.0,0.0,4.0,398,0.27738693467336706
48,DAL,14,0.7777777777777778,PTS,23.6,10.702469674932845,48.0,6.0,23.0,15,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,0.6839195979899486
49,DAL,14,0.7777777777777778,STL,1.6,1.0555973258234952,4.0,0.0,2.0,15,1.6909547738693467,1.3457531270845173,7.0,0.0,2.0,398,0.09095477386934658
50,DAL,14,0.7777777777777778,TOV,2.8666666666666667,2.1995670569671746,6.0,0.0,3.0,15,3.2336683417085426,1.9303155170901865,11.0,0.0,3.0,398,0.36700167504187586
51,DAL,14,0.7777777777777778,TRB,4.666666666666667,2.1930626551751344,9.0,0.0,5.0,15,4.678391959798995,2.585969784253816,13.0,0.0,5.0,398,0.011725293132328396
52,DEN,11,0.6111111111111112,+/-,4.166666666666667,17.24648301743252,44.0,-24.0,3.5,18,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398,0.0016750418760462793
53,DEN,11,0.6111111111111112,DRB,3.388888888888889,1.8830166313622745,7.0,0.0,4.0,18,3.879396984924623,2.354165104283823,11.0,0.0,4.0,398,0.4905080960357342
54,DEN,11,0.6111111111111112,FGA,16.833333333333332,4.579365483917408,25.0,5.0,17.0,18,17.839195979899497,5.355782332181428,35.0,0.0,18.0,398,1.0058626465661646
55,DEN,11,0.6111111111111112,FT,2.1666666666666665,2.2294816068526147,7.0,0.0,2.0,18,4.040201005025126,3.2329213278612334,16.0,0.0,4.0,398,1.8735343383584593
56,DEN,11,0.6111111111111112,FT%,0.870090909090909,0.19323584271322675,1.0,0.5,1.0,11,0.8979462686567165,0.16563122800705554,1.0,0.0,1.0,335,0.027855359565807425
57,DEN,11,0.6111111111111112,FTA,2.5555555555555554,2.548868773817866,7.0,0.0,2.5,18,4.477386934673367,3.460935824584786,16.0,0.0,4.0,398,1.9218313791178119
58,DEN,11,0.6111111111111112,ORB,0.5,0.6183469424008423,2.0,0.0,0.0,18,0.7989949748743719,0.9782516636096457,5.0,0.0,1.0,398,0.2989949748743719
59,DEN,11,0.6111111111111112,PTS,23.333333333333332,9.38083151964686,38.0,6.0,25.0,18,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,0.9505862646566179
60,DEN,11,0.6111111111111112,STL,1.3888888888888888,1.1950332945836273,3.0,0.0,1.5,18,1.6909547738693467,1.3457531270845173,7.0,0.0,2.0,398,0.30206588498045783
61,DEN,11,0.6111111111111112,TOV,3.0,1.9402850002906638,8.0,1.0,2.5,18,3.2336683417085426,1.9303155170901865,11.0,0.0,3.0,398,0.23366834170854256
62,DEN,11,0.6111111111111112,TRB,3.888888888888889,1.9967293518589753,7.0,0.0,4.0,18,4.678391959798995,2.585969784253816,13.0,0.0,5.0,398,0.7895030709101065
63,DET,11,0.6111111111111112,+/-,0.625,8.070006195784487,11.0,-11.0,0.0,8,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398,3.5433417085427132
64,DET,11,0.6111111111111112,3P,3.25,2.187627547301936,7.0,0.0,3.0,8,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,0.39070351758793986
65,DET,11,0.6111111111111112,3PA,7.375,4.172614801981401,15.0,3.0,7.5,8,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398,1.2556532663316577
66,DET,11,0.6111111111111112,BLK,0.125,0.3535533905932738,1.0,0.0,0.0,8,0.228643216080402,0.5073601042723627,3.0,0.0,0.0,398,0.103643216080402
67,DET,11,0.6111111111111112,DRB,3.625,1.5059406173077154,6.0,2.0,3.0,8,3.879396984924623,2.354165104283823,11.0,0.0,4.0,398,0.25439698492462304
68,DET,11,0.6111111111111112,FG,7.0,3.1622776601683795,13.0,3.0,6.5,8,8.301507537688442,3.3994439816055255,20.0,0.0,8.0,398,1.3015075376884422
69,DET,11,0.6111111111111112,FG%,0.44837499999999997,0.09244602672447778,0.556,0.25,0.47150000000000003,8,0.45951262626262623,0.1230366924469085,0.778,0.0,0.462,396,0.011137626262626266
70,DET,11,0.6111111111111112,FGA,15.5,5.68205194324324,26.0,9.0,15.0,8,17.839195979899497,5.355782332181428,35.0,0.0,18.0,398,2.339195979899497
71,DET,11,0.6111111111111112,ORB,0.75,1.0350983390135313,3.0,0.0,0.5,8,0.7989949748743719,0.9782516636096457,5.0,0.0,1.0,398,0.04899497487437188
72,DET,11,0.6111111111111112,PTS,22.0,8.349508112115691,38.0,10.0,20.5,8,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,2.28391959798995
73,DET,11,0.6111111111111112,TRB,4.375,2.1339098923270936,8.0,2.0,3.5,8,4.678391959798995,2.585969784253816,13.0,0.0,5.0,398,0.30339195979899536
74,HOU,11,0.6111111111111112,+/-,0.5,15.852581740085334,33.0,-27.0,1.5,24,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398,3.6683417085427132
75,HOU,11,0.6111111111111112,3P,3.25,2.069446470835178,7.0,0.0,3.0,24,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,0.39070351758793986
76,HOU,11,0.6111111111111112,3P%,0.3489166666666667,0.18378979407409188,0.778,0.0,0.33299999999999996,24,0.41499240506329116,0.19620001046026245,1.0,0.0,0.4,395,0.06607573839662445
77,HOU,11,0.6111111111111112,FG,8.208333333333334,2.7501646854509363,13.0,2.0,8.0,24,8.301507537688442,3.3994439816055255,20.0,0.0,8.0,398,0.09317420435510826
78,HOU,11,0.6111111111111112,FG%,0.4406666666666667,0.115188566260291,0.684,0.222,0.447,24,0.45951262626262623,0.1230366924469085,0.778,0.0,0.462,396,0.018845959595959527
79,HOU,11,0.6111111111111112,FT,3.4583333333333335,3.4132627087349396,11.0,0.0,2.5,24,4.040201005025126,3.2329213278612334,16.0,0.0,4.0,398,0.5818676716917923
80,HOU,11,0.6111111111111112,FT%,0.8311052631578948,0.21199053824190733,1.0,0.33299999999999996,0.9,19,0.8979462686567165,0.16563122800705554,1.0,0.0,1.0,335,0.06684100549882166
81,HOU,11,0.6111111111111112,FTA,4.083333333333333,3.6465190866462445,11.0,0.0,3.5,24,4.477386934673367,3.460935824584786,16.0,0.0,4.0,398,0.3940536013400342
82,HOU,11,0.6111111111111112,ORB,0.75,1.073393643098131,3.0,0.0,0.0,24,0.7989949748743719,0.9782516636096457,5.0,0.0,1.0,398,0.04899497487437188
83,HOU,11,0.6111111111111112,PTS,23.125,8.226745883159815,40.0,6.0,23.5,24,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,1.15891959798995
84,HOU,11,0.6111111111111112,TOV,3.0,2.06418738616856,8.0,0.0,3.0,24,3.2336683417085426,1.9303155170901865,11.0,0.0,3.0,398,0.23366834170854256
85,IND,11,0.6111111111111112,+/-,1.5714285714285714,19.518001458970662,34.0,-19.0,-7.0,7,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398,2.596913137114142
86,IND,11,0.6111111111111112,3P,3.4285714285714284,2.439750182371333,7.0,0.0,3.0,7,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,0.21213208901651148
87,IND,11,0.6111111111111112,3PA,7.0,2.886751345948129,10.0,2.0,8.0,7,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398,1.6306532663316577
88,IND,11,0.6111111111111112,AST,5.714285714285714,2.3603873774083297,10.0,3.0,6.0,7,6.238693467336684,2.736231444964152,15.0,0.0,6.0,398,0.5244077530509692
89,IND,11,0.6111111111111112,FG,8.285714285714286,3.6384193323605842,14.0,3.0,7.0,7,8.301507537688442,3.3994439816055255,20.0,0.0,8.0,398,0.01579325197415571
90,IND,11,0.6111111111111112,FGA,15.571428571428571,5.533448076836686,23.0,7.0,17.0,7,17.839195979899497,5.355782332181428,35.0,0.0,18.0,398,2.2677674084709256
91,IND,11,0.6111111111111112,FT,2.857142857142857,2.7342623276105886,8.0,0.0,3.0,7,4.040201005025126,3.2329213278612334,16.0,0.0,4.0,398,1.1830581478822686
92,IND,11,0.6111111111111112,FT%,0.8834,0.16233545515382644,1.0,0.667,1.0,5,0.8979462686567165,0.16563122800705554,1.0,0.0,1.0,335,0.014546268656716488
93,IND,11,0.6111111111111112,FTA,3.2857142857142856,2.984084768360628,8.0,0.0,3.0,7,4.477386934673367,3.460935824584786,16.0,0.0,4.0,398,1.1916726489590816
94,IND,11,0.6111111111111112,ORB,0.7142857142857143,0.7559289460184544,2.0,0.0,1.0,7,0.7989949748743719,0.9782516636096457,5.0,0.0,1.0,398,0.08470926058865758
95,IND,11,0.6111111111111112,PTS,22.857142857142858,9.873003113348567,38.0,6.0,22.0,7,24.28391959798995,10.018737745276727,54.0,0.0,24.0,398,1.4267767408470924
96,LAC,11,0.6111111111111112,+/-,3.76,14.321545540431961,28.0,-31.0,5.0,25,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398,0.40834170854271346
97,LAC,11,0.6111111111111112,3P,3.04,2.423496097239138,9.0,0.0,3.0,25,3.64070351758794,2.3484925241648362,12.0,0.0,3.0,398,0.6007035175879398
